             JOBID PARTITION     NAME     USER    STATE       TIME TIME_LIMI  NODES NODELIST(REASON) SUBMIT_TIME
            722875  gpu-a100 alphabin treydewk  PENDING       0:00 2-00:00:00      1 (QOSMaxJobsPerUserLimit) 2023-02-25T14:37:44
            724946  gpu-a100 mumax3-g jting101  PENDING       0:00 1-00:00:00      1 (Resources) 2023-02-26T16:50:13
            723571  gpu-a100      mae     egoh  PENDING       0:00 2-00:00:00      8 (Priority) 2023-02-26T00:48:59
            725002  gpu-a100 mumax3-g jting101  PENDING       0:00 1-00:00:00      1 (Priority) 2023-02-26T17:20:56
            725003  gpu-a100 mumax3-g jting101  PENDING       0:00 1-00:00:00      1 (Priority) 2023-02-26T17:21:35
            723672  gpu-a100      Jup srvdutta  PENDING       0:00  22:00:00      1 (Priority) 2023-02-26T08:36:24
            725157  gpu-a100 enhancer  willbui  PENDING       0:00   2:00:00      1 (Priority) 2023-02-26T21:07:19
            725035  gpu-a100 scanstro   davidk  PENDING       0:00      1:00     16 (Priority) 2023-02-26T18:08:48
            724894  gpu-a100 vit_obfu gsmyrnis  PENDING       0:00 1-00:00:00      1 (Priority) 2023-02-26T15:46:49
            724893  gpu-a100 vit_obfu gsmyrnis  PENDING       0:00 1-00:00:00      1 (Priority) 2023-02-26T15:46:37
            723914  gpu-a100    MinSr croth_92  PENDING       0:00 2-00:00:00      1 (Priority) 2023-02-26T12:04:35
            724270  gpu-a100 tap_jupy anubrata  PENDING       0:00 1-23:00:00      1 (Priority) 2023-02-26T13:52:46
            724482  gpu-a100 MinSrBig croth_92  PENDING       0:00 2-00:00:00      1 (Priority) 2023-02-26T14:22:21
            724733  gpu-a100   psddpm   yl4599  PENDING       0:00 2-00:00:00      4 (Priority) 2023-02-26T14:55:58
            725048  gpu-a100  add_fdr  qchen20  PENDING       0:00   8:00:00      3 (Priority) 2023-02-26T18:36:51
            724910  gpu-a100   wavery   wavery  PENDING       0:00 2-00:00:00      3 (Priority) 2023-02-26T16:07:38
            724911  gpu-a100   wavery   wavery  PENDING       0:00 2-00:00:00      3 (Priority) 2023-02-26T16:08:31
            725168  gpu-a100    MinSr croth_92  PENDING       0:00  12:00:00      1 (Priority) 2023-02-26T21:14:37
            725171  gpu-a100 MinSrBig croth_92  PENDING       0:00  12:00:00      1 (Priority) 2023-02-26T21:16:03
            725173  gpu-a100 myst_esp satwik22  PENDING       0:00     15:00      1 (Priority) 2023-02-26T21:17:43
            725036  gpu-a100   mmunir mmunir24  PENDING       0:00 2-00:00:00      3 (Priority) 2023-02-26T18:09:09
            718822  gpu-a100 kfac_sk8     sli4  PENDING       0:00 2-00:00:00      4 (Dependency) 2023-02-23T08:58:13
            717145  gpu-a100 kfac_sk8     sli4  PENDING       0:00 2-00:00:00      4 (Dependency) 2023-02-22T12:05:01
            721136  gpu-a100 5x56_elu  shrutim  RUNNING    1:10:04 2-00:00:00      1 c316-001 2023-02-24T12:19:20
            720790  gpu-a100 alphabin treydewk  RUNNING    1:10:04 2-00:00:00      1 c316-005 2023-02-24T10:07:09
            721248  gpu-a100 rtx.slur  zhengmk  RUNNING    5:12:12 2-00:00:00      4 c315-010,c316-007,c317-[006,016] 2023-02-24T13:22:15
            720610  gpu-a100 alphabin treydewk  RUNNING    5:12:03 2-00:00:00      1 c305-003 2023-02-24T08:04:43
            720616  gpu-a100 alphabin treydewk  RUNNING    5:12:03 2-00:00:00      1 c310-003 2023-02-24T08:18:58
            721129  gpu-a100     5x56  shrutim  RUNNING    5:01:50 2-00:00:00      1 c317-002 2023-02-24T12:17:20
            711433  gpu-a100 kfac_10_     sli4  RUNNING    1:10:04 2-00:00:00      4 c315-[001-004] 2023-02-20T08:53:51
            721857  gpu-a100 data-lim  wgilpin  RUNNING    1:10:04 1-23:30:00      1 c316-008 2023-02-25T04:01:47
            719027  gpu-a100 alphabin treydewk  RUNNING 1-13:44:09 2-00:00:00      1 c305-002 2023-02-23T11:13:12
            722779  gpu-a100   cf1_dp   dy4652  RUNNING    1:10:04 2-00:00:00      4 c315-[013-015],c316-010 2023-02-25T13:58:37
            713781  gpu-a100 kfac_sk8     sli4  RUNNING    1:10:04 2-00:00:00      4 c316-012,c317-[008,012-013] 2023-02-20T21:22:48
            721829  gpu-a100 gpu_tone  abhinau  RUNNING    1:09:45 2-00:00:00      1 c309-004 2023-02-25T02:19:34
            721830  gpu-a100 gpu_tone  abhinau  RUNNING    1:09:45 2-00:00:00      1 c317-007 2023-02-25T02:19:34
            721831  gpu-a100 gpu_tone  abhinau  RUNNING    1:09:58 2-00:00:00      1 c315-016 2023-02-25T02:19:34
            721832  gpu-a100 gpu_tone  abhinau  RUNNING    1:09:58 2-00:00:00      1 c316-006 2023-02-25T02:19:34
            721827  gpu-a100 gpu_tone  abhinau  RUNNING    1:10:04 2-00:00:00      1 c317-010 2023-02-25T02:19:34
            721828  gpu-a100 gpu_tone  abhinau  RUNNING    1:10:04 2-00:00:00      1 c317-015 2023-02-25T02:19:34
            718746  gpu-a100 alphabin treydewk  RUNNING 1-22:03:32 2-00:00:00      1 c303-004 2023-02-23T07:48:53
            722912  gpu-a100 tap_jupy     yian  RUNNING    1:09:58 2-00:00:00      1 c317-009 2023-02-25T14:54:22
            721916  gpu-a100 long-seq tomyoung  RUNNING    1:09:45 1-23:00:00      4 c316-[013-016] 2023-02-25T09:05:48
            723459  gpu-a100 big_eart  diegosg  RUNNING    1:09:58 1-16:00:00      1 c317-014 2023-02-25T23:59:48
            723236  gpu-a100      swm  abyoung  RUNNING    1:09:45 2-00:00:00      3 c316-[002-004] 2023-02-25T18:48:17
            723294  gpu-a100 idv00981 wwongkam  RUNNING    1:09:45 1-00:00:00      1 c317-001 2023-02-25T20:30:42
            723055  gpu-a100 idv97385    merlo  RUNNING    1:09:37 2-00:00:00     16 c302-[001-004],c303-[001-003],c304-[001-004],c308-[002-004],c310-[001-002] 2023-02-25T15:56:05
            723375  gpu-a100 ScrewDro mwabdelr  RUNNING    1:09:37 2-00:00:00      1 c305-001 2023-02-25T22:34:09
            722871  gpu-a100 alphabin treydewk  RUNNING    1:09:37 2-00:00:00      1 c305-004 2023-02-25T14:36:27
            722873  gpu-a100 alphabin treydewk  RUNNING    1:09:37 2-00:00:00      1 c317-003 2023-02-25T14:37:06
            723570  gpu-a100    train   hvtran  RUNNING    1:09:37 2-00:00:00      1 c317-004 2023-02-26T00:47:27
            720606  gpu-a100 alphabin treydewk  RUNNING 1-09:01:36 2-00:00:00      1 c315-011 2023-02-24T07:56:07
            723402  gpu-a100     job4      ghl  RUNNING    1:03:01 1-00:00:00      4 c315-[005-006],c316-009,c317-011 2023-02-25T22:44:48
            723577  gpu-a100 openfold    sk844  RUNNING       8:32 2-00:00:00      6 c308-001,c309-001,c315-[007,009],c316-011,c317-005 2023-02-26T00:59:46
            721181  gpu-a100 idv26569   kaipak  RUNNING 1-13:44:08 2-00:00:00      1 c310-004 2023-02-24T12:55:50
            723908  gpu-a100  jobname     vty8  RUNNING    1:02:27  10:01:00      1 c309-002 2023-02-26T11:58:22
            723948  gpu-a100 classify    tjost  RUNNING    1:01:56   6:00:00      1 c309-003 2023-02-26T12:22:06
